tweet_id,airline_sentiment,airline,lat,lon,tweet_location,tt_lat,tt_lng,user_timezone,usr_lat,usr_lng,hour,date,dow
942743012337122944,positive,ryanair,,,,,,Dublin,53.3498053,-6.2603097,13,2017-12-18,0
926857871916184064,positive,iberia,,,,,,,,,17,2017-11-04,5
936979305720091008,neutral,iberia,,,,,,,,,15,2017-12-02,5
943983853802328064,negative,iberia,,,,,,Central Time (US & Canada),37.09024,-95.712891,23,2017-12-21,3
938207464457212032,negative,klm,,,,,,Eastern Time (US & Canada),37.51647579999999,-82.8067126,0,2017-12-06,2
931526746301714944,neutral,iberia,,,,,,,,,14,2017-11-17,4
933385784228531968,neutral,spanair,,,,,,,,,17,2017-11-22,2
932856751099142016,positive,iberia,,,,,,,,,6,2017-11-21,1
927623530585510016,negative,iberia,,,,,,,,,19,2017-11-06,0
930719355704430976,neutral,iberia,,,,,,Karachi,24.8607343,67.0011364,8,2017-11-15,2
938115911084593024,negative,iberia,,,,,,Pacific Time (US & Canada),38.7614031,-120.5072407,18,2017-12-05,1
944883680970968960,negative,iberia,,,,,,Pacific Time (US & Canada),38.7614031,-120.5072407,10,2017-12-24,6
937549230994050944,positive,iberia,,,,,,Central Time (US & Canada),37.09024,-95.712891,5,2017-12-04,0
941081978807431040,neutral,iberia,,,,,,Pacific Time (US & Canada),38.7614031,-120.5072407,23,2017-12-13,2
933352064910013056,neutral,iberia,,,,,,,,,15,2017-11-22,2
941598213106228992,positive,ryanair,,,,,,Madrid,40.4167754,-3.7037902,9,2017-12-15,4
923921122495787008,negative,iberia,,,,,,Madrid,40.4167754,-3.7037902,14,2017-10-27,4
931611760829792000,neutral,iberia,,,,,,,,,19,2017-11-17,4
943844779976208000,neutral,iberia,,,,,,,,,14,2017-12-21,3
941121849366368000,positive,iberia,,,,,,Mexico City,19.4326077,-99.133208,1,2017-12-14,3
942150441445548032,neutral,iberia,,,,,,,,,21,2017-12-16,5
941436315547128064,neutral,iberia,,,,,,Madrid,40.4167754,-3.7037902,22,2017-12-14,3
930553946023842048,negative,iberia,,,,,,,,,21,2017-11-14,1
937424103488844032,negative,iberia,,,,,,Madrid,40.4167754,-3.7037902,20,2017-12-03,6
923271099151995008,negative,iberia,,,,,,Caracas,10.488010000000031,-66.87918999999994,19,2017-10-25,2
941368109289693056,neutral,iberia,,,,,,,,,18,2017-12-14,3
942400199523294976,neutral,ryanair,,,,,,Athens,37.97614000000004,23.73640000000006,14,2017-12-17,6
